Student_ID,Gender,Branch,Year_of_Study,Age,CGPA,10th_Percentage,12th_Percentage,Backlogs,Attendance_Percentage,Aptitude_Score,IQ_Score,Programming_Score,Technical_Skills_Score,Certifications_Count,Projects_Done,Internship_Count,Internship_Duration_Months,Communication_Score,Teamwork_Score,Leadership_Score,Confidence_Level,Adaptability_Score,Placement_Status,Company_Name,Job_Profile,Salary_Package_LPA,Offer_Type,Family_Income,Location_Type,Placement_Readiness_Score
S0001,Male,CE,3,21,7.88,63.0,62.1,0,74.1,5.9,102,9.8,9.6,1,1,2,6,8.3,5.5,9.6,8.9,8.9,Placed,Capgemini,Software Engineer,10.7,Off-Campus,1125519,Urban,7.28
S0002,Female,EEE,4,20,7.69,84.0,63.7,4,74.7,9.3,135,5.4,8.4,4,6,0,5,8.9,7.0,8.6,8.7,6.9,Not Placed,TCS,Intern,8.6,On-Campus,776297,Urban,8.21
S0003,Male,ME,4,23,9.98,84.8,66.5,4,90.5,8.5,128,7.7,5.1,5,3,0,8,8.5,7.5,9.0,9.2,6.2,Placed,Amazon,Data Engineer,12.8,On-Campus,1026503,Rural,7.78
S0004,Male,IT,4,22,6.04,72.6,71.9,0,70.6,5.4,102,6.6,7.7,0,2,2,3,8.9,5.9,7.9,8.3,5.1,Placed,Amazon,,14.2,Off-Campus,283532,Semi-Urban,6.35
S0005,Male,CSE,3,23,9.58,62.7,79.0,0,73.5,5.6,136,6.1,8.1,0,3,0,3,7.9,8.4,8.3,7.1,8.1,Placed,Accenture,Software Engineer,10.1,On-Campus,250717,Urban,7.41
S0006,Female,IT,3,20,6.6,74.9,84.9,1,95.3,8.6,101,7.5,10.0,2,2,1,2,9.3,7.1,6.9,5.3,9.0,Placed,Amazon,Analyst,6.6,On-Campus,1481307,Semi-Urban,7.36
S0007,Male,EEE,3,23,9.14,75.5,67.4,3,95.3,5.4,122,8.0,10.0,0,5,0,4,7.8,5.5,8.4,8.9,9.4,Placed,Accenture,Developer,12.3,On-Campus,1447691,Semi-Urban,7.99
S0008,Male,EEE,4,23,8.47,83.4,83.5,1,79.9,9.6,117,5.0,9.3,1,5,0,4,6.1,8.2,9.9,9.5,7.4,Placed,Accenture,Developer,5.0,Off-Campus,1398232,Rural,8.38
S0009,Male,CSE,3,20,7.37,71.0,84.6,1,72.6,8.7,92,8.9,5.3,4,6,2,11,7.7,6.8,8.2,7.6,9.6,Not Placed,,Analyst,4.1,On-Campus,1194004,Semi-Urban,7.14
S0010,Female,ECE,4,21,9.5,83.9,79.6,0,91.1,6.7,107,9.1,9.8,2,4,1,9,8.6,5.3,6.7,7.7,6.0,Placed,Wipro,Intern,9.2,On-Campus,779250,Semi-Urban,8.18
