magnitude,depth,cdi,mmi,sig,alert
7,14,8,7,0,1
6.9,25,4,4,-33,1
7,579,3,3,-13,1
7.3,37,5,5,65,1
6.6,624,0,2,-98,1
7,660,4,3,-13,1
6.8,630,1,3,-57,1
6.7,20,7,6,29,1
6.8,20,8,7,-101,0
7.6,26,9,8,7,0
6.9,10,9,9,119,0
6.5,10,7,7,-12,1
7,137,7,5,-7,1
7.6,116,8,8,-59,0
6.6,12,9,8,19,0
6.6,30,7,6,-96,1
7,33,9,8,71,0
6.5,622,3,2,-115,1
7.2,236,7,5,108,1
6.9,10,2,5,-35,1
6.8,220,6,5,-6,1
6.6,27,6,5,-6,1
7,10,6,4,-5,1
6.9,10,6,4,-30,1
6.7,24,8,7,38,1
7.3,41,9,8,93,0
6.7,28,9,6,-60,1
6.6,24,2,7,-98,1
6.8,535,2,3,-56,1
6.5,110,8,6,-78,1
6.5,8,7,4,-117,1
6.6,33,8,6,17,1
6.6,19,8,5,-94,1
6.8,20,7,6,-38,1
6.6,21,6,6,-48,1
6.6,13,9,8,-12,0
7.3,165,8,7,-103,1
7.3,14,9,5,86,1
7.5,126,8,8,70,0
6.6,12,7,4,-80,1
6.9,51,8,6,-29,1
6.9,535,4,3,-28,1
7.3,527,4,4,58,1
6.5,21,7,5,-84,1
7,20,8,8,-56,0
7.1,6,1,4,8,1
6.6,7,1,3,-98,1
6.9,93,8,7,-27,1
6.9,16,6,4,-34,1
7.2,10,9,8,27,0
6.9,33,5,4,-30,1
6.9,20,5,4,-30,1
8.1,22,0,7,-15,1
7.5,47,9,6,100,1
7.1,55,9,7,78,1
8.2,46,8,6,-43,1
8.2,35,8,7,-28,0
6.7,110,8,5,-89,1
6.7,10,6,6,62,1
6.5,25,0,4,-118,1
6.5,10,5,7,-116,1
7.3,10,9,9,1,0
6.7,11,8,4,-70,1
6.7,10,9,3,-74,1
6.9,43,7,6,-105,1
6.5,246,4,4,-117,1
6.5,301,6,4,-116,1
7,43,7,7,28,0
6.6,13,5,5,-96,1
6.5,24,0,4,-118,1
8.1,28,9,8,-3,1
7.4,43,3,7,75,1
7.3,10,7,6,-92,1
7.1,43,9,8,76,0
7.7,10,9,4,-106,1
6.9,15,9,5,-29,1
7,80,7,5,34,1
6.7,10,8,8,8,1
6.7,10,5,5,8,1
7,21,8,7,-9,0
7.6,28,9,7,-115,0
6.9,10,0,3,-36,1
6.5,16,6,6,-94,1
6.8,21,6,7,56,1
6.5,10,4,5,-117,1
6.9,624,4,3,-19,1
6.9,26,4,4,-33,1
6.8,22,5,4,-52,1
6.6,10,9,8,16,0
7.8,28,9,7,87,1
7,73,6,7,52,1
6.6,533,4,2,-84,1
7.4,20,8,8,-42,0
7.4,10,7,7,105,1
6.6,165,5,4,-34,1
6.8,112,6,6,67,1
6.5,2,7,8,40,1
6.6,107,4,6,-97,1
6.8,96,4,6,-30,1
6.5,10,7,6,-90,1
6.5,12,8,8,-126,1
7.5,57,6,5,111,1
7,143,5,6,2,0
7.7,14,9,6,20,0
